epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.5857,3.40611,2.83086,0.78323,0.00579,0.04882,0.00048,7e-05,3.23937,3.41454,0.72119,0.000652778,0.000652778,0.000652778
2,62.0244,3.53222,1.93403,0.74593,0.03543,0.29898,0.05207,0.00865,3.86297,2.56321,0.75916,0.00130638,0.00130638,0.00130638
3,81.976,3.36651,1.76957,0.73287,0.40739,0.27125,0.16596,0.03368,3.66659,1.71297,0.76229,0.00194679,0.00194679,0.00194679
4,108.476,3.6121,1.88943,0.76198,0.29042,0.3044,0.13801,0.02849,3.68348,1.60031,0.77704,0.0019406,0.0019406,0.0019406
5,130.411,3.51034,1.83102,0.75343,0.20601,0.22725,0.09457,0.01801,3.90761,1.5525,0.76584,0.0019208,0.0019208,0.0019208
6,201.364,3.51398,1.78509,0.72475,0.49704,0.45992,0.31829,0.07262,3.37102,1.33898,0.74201,0.001901,0.001901,0.001901
7,224.704,3.70183,1.63055,0.70857,0.43123,0.41816,0.2544,0.05443,3.49569,1.61026,0.75076,0.0018812,0.0018812,0.0018812
8,239.853,3.59563,1.74863,0.74575,0.52906,0.48825,0.37626,0.09436,3.191,1.79646,0.71779,0.0018614,0.0018614,0.0018614
9,259.228,3.79155,1.58221,0.7146,0.35545,0.32851,0.1814,0.03132,3.80687,1.37845,0.76025,0.0018416,0.0018416,0.0018416
10,311.99,3.47305,1.56494,0.72053,0.32622,0.30319,0.13534,0.02415,3.95949,1.4239,0.79222,0.0018218,0.0018218,0.0018218
11,330.134,3.74392,1.62818,0.73266,0.36468,0.38638,0.19408,0.03778,3.70705,1.44312,0.76726,0.001802,0.001802,0.001802
12,345.765,3.5975,1.61162,0.71187,0.35906,0.39602,0.18852,0.03529,3.73843,1.37188,0.7669,0.0017822,0.0017822,0.0017822
13,361.103,3.59068,1.50121,0.68901,0.48151,0.43279,0.2861,0.05755,3.53157,1.25665,0.74083,0.0017624,0.0017624,0.0017624
14,376.536,3.35345,1.55196,0.71157,0.50497,0.47283,0.32364,0.07123,3.40321,1.24093,0.73587,0.0017426,0.0017426,0.0017426
15,398.633,3.44387,1.43894,0.70598,0.50997,0.50748,0.32875,0.07447,3.35078,1.20939,0.72931,0.0017228,0.0017228,0.0017228
16,440.379,3.34862,1.43243,0.71818,0.39148,0.40506,0.21721,0.03968,3.69408,1.27201,0.75047,0.001703,0.001703,0.001703
17,496.375,3.47272,1.44251,0.76567,0.43996,0.41893,0.24922,0.04623,3.54453,1.20907,0.72344,0.0016832,0.0016832,0.0016832
18,539.864,3.42093,1.43038,0.70132,0.52356,0.47318,0.33362,0.06881,3.48037,1.22162,0.74274,0.0016634,0.0016634,0.0016634
19,555.722,3.48942,1.36571,0.72775,0.43342,0.40868,0.21357,0.04316,3.73333,1.26218,0.77251,0.0016436,0.0016436,0.0016436
20,571.384,3.40327,1.38635,0.73803,0.53767,0.50693,0.36859,0.08065,3.30577,1.17308,0.71876,0.0016238,0.0016238,0.0016238
21,588.73,3.17103,1.29256,0.70997,0.54253,0.53586,0.38878,0.09372,3.23947,1.16518,0.72235,0.001604,0.001604,0.001604
22,608.147,3.69029,1.47858,0.69761,0.4219,0.42315,0.22376,0.04039,3.69402,1.28697,0.75729,0.0015842,0.0015842,0.0015842
23,624.135,3.41287,1.37797,0.71399,0.58728,0.55214,0.45245,0.11379,3.09044,1.1426,0.70398,0.0015644,0.0015644,0.0015644
24,638.933,3.53006,1.38003,0.64933,0.44391,0.42917,0.27894,0.05371,3.50023,1.17825,0.72811,0.0015446,0.0015446,0.0015446
25,668.494,3.49257,1.46074,0.72705,0.54398,0.50261,0.39276,0.09544,3.22892,1.09763,0.72054,0.0015248,0.0015248,0.0015248
26,708.166,3.40861,1.41269,0.69349,0.42271,0.40265,0.23587,0.04024,3.633,1.24774,0.73902,0.001505,0.001505,0.001505
27,737.752,3.39603,1.40041,0.70429,0.48301,0.50573,0.32871,0.06573,3.47299,1.17534,0.72951,0.0014852,0.0014852,0.0014852
28,752.697,3.76679,1.42826,0.65855,0.50969,0.50505,0.34066,0.07288,3.40775,1.16144,0.74235,0.0014654,0.0014654,0.0014654
29,787.277,3.24194,1.29974,0.70619,0.5155,0.49849,0.33602,0.07331,3.35848,1.15602,0.73116,0.0014456,0.0014456,0.0014456
30,803.678,3.17302,1.31757,0.74529,0.61489,0.61603,0.48695,0.14182,2.91809,1.17943,0.70429,0.0014258,0.0014258,0.0014258
31,834.227,3.42846,1.33825,0.68174,0.5035,0.49066,0.31282,0.06459,3.5026,1.22073,0.74227,0.001406,0.001406,0.001406
32,849.609,3.46898,1.38836,0.69379,0.48755,0.49435,0.31926,0.06064,3.50265,1.17508,0.73005,0.0013862,0.0013862,0.0013862
33,883.153,3.40161,1.35042,0.71837,0.21232,0.22664,0.0568,0.00941,4.25807,1.49443,0.83552,0.0013664,0.0013664,0.0013664
34,899.924,3.31898,1.41761,0.70972,0.54036,0.53218,0.36632,0.07806,3.36182,1.14731,0.73749,0.0013466,0.0013466,0.0013466
