epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.7694,0.02777,2.27162,0.80383,0.02348,0.41152,0.03999,0.00902,0.02455,3.2059,0.76076,0.00326389,0.00326389,0.070625
2,11.1184,0.02806,1.70435,0.79199,0.0096,0.10184,0.00117,0.00021,nan,nan,nan,0.00655368,0.00655368,0.0405815
3,16.2994,0.02777,1.68495,0.80384,0.03093,0.22705,0.00778,0.00126,0.028,93.9781,0.79209,0.00979947,0.00979947,0.0104939
4,21.36,0.02878,1.78642,0.80985,0.00196,0.0217,5e-05,1e-05,0.03091,539.542,0.94731,0.009802,0.009802,0.009802
5,26.747,0.02753,1.57159,0.79101,0.30014,0.36728,0.16463,0.03225,0.02496,2.21504,0.74661,0.009736,0.009736,0.009736
6,37.1888,0.02816,1.65327,0.79471,0.29768,0.36728,0.16392,0.03218,0.02495,2.21361,0.74657,0.00967,0.00967,0.00967
7,42.2757,0.02806,1.55447,0.7648,0.11653,0.17696,0.02846,0.00487,0.02851,3.53719,0.84082,0.009604,0.009604,0.009604
8,47.4335,0.02719,1.43687,0.78493,0.18881,0.17446,0.05455,0.01006,0.02828,2.47482,0.99962,0.009538,0.009538,0.009538
9,54.2115,0.02587,1.41289,0.76566,0.34924,0.37312,0.19487,0.03989,0.02402,2.33908,0.76177,0.009472,0.009472,0.009472
10,62.1814,0.0269,1.49924,0.77151,0.16186,0.19151,0.04265,0.00816,0.02858,1.60951,0.83159,0.009406,0.009406,0.009406
11,69.687,0.02555,1.36557,0.77327,0.37091,0.39733,0.20393,0.04266,0.02325,1.32085,0.75914,0.00934,0.00934,0.00934
12,77.4706,0.02536,1.36748,0.76153,0.34335,0.34699,0.1654,0.03417,0.02411,1.29959,0.76318,0.009274,0.009274,0.009274
13,85.3974,0.02519,1.34384,0.77485,0.25446,0.29215,0.10732,0.01961,0.02583,1.45204,0.77935,0.009208,0.009208,0.009208
14,93.4149,0.02484,1.29296,0.7447,0.58065,0.59516,0.47368,0.13162,0.0199,1.16662,0.72552,0.009142,0.009142,0.009142
15,101.631,0.0254,1.26733,0.77042,0.18892,0.2596,0.05695,0.00995,0.02733,2.06063,0.80557,0.009076,0.009076,0.009076
16,110.031,0.0252,1.23648,0.74203,0.32617,0.35225,0.15697,0.02907,0.02529,2.46814,0.78801,0.00901,0.00901,0.00901
17,118.037,0.02565,1.28867,0.75905,0.10479,0.14524,0.02038,0.0033,0.03003,1.52569,0.8765,0.008944,0.008944,0.008944
18,125.557,0.02463,1.21502,0.72327,0.42421,0.42654,0.24512,0.05048,0.02386,1.33432,0.76401,0.008878,0.008878,0.008878
19,133.136,0.02578,1.27845,0.7605,0.55465,0.54424,0.41037,0.10102,0.02122,1.09589,0.73308,0.008812,0.008812,0.008812
20,141.157,0.02408,1.19368,0.743,0.13681,0.17195,0.02964,0.00466,0.02964,1.57561,0.86684,0.008746,0.008746,0.008746
21,146.776,0.02434,1.2085,0.74236,0.63911,0.57679,0.5275,0.12927,0.02132,1.04938,0.71725,0.00868,0.00868,0.00868
22,151.913,0.02443,1.23143,0.73368,0.39269,0.39649,0.20964,0.03651,0.0246,1.21289,0.77446,0.008614,0.008614,0.008614
23,157.287,0.02395,1.21486,0.73399,0.32655,0.35058,0.14422,0.0248,0.02552,1.21036,0.80427,0.008548,0.008548,0.008548
24,162.384,0.02347,1.19061,0.73719,0.55937,0.54174,0.40085,0.09416,0.02129,1.06223,0.74596,0.008482,0.008482,0.008482
25,167.646,0.02378,1.22513,0.75421,0.19062,0.22621,0.0557,0.00841,0.02754,1.35104,0.82271,0.008416,0.008416,0.008416
26,172.819,0.0234,1.15424,0.73841,0.49872,0.50575,0.31619,0.05961,0.02314,1.10659,0.74449,0.00835,0.00835,0.00835
27,177.618,0.02444,1.23574,0.73852,0.64524,0.61269,0.51607,0.14148,0.01966,0.98972,0.72637,0.008284,0.008284,0.008284
28,182.667,0.0236,1.21391,0.73078,0.31675,0.34641,0.15561,0.02783,0.02524,1.18638,0.789,0.008218,0.008218,0.008218
29,188.012,0.02398,1.20694,0.73683,0.60848,0.56691,0.49982,0.12077,0.02088,1.11847,0.7321,0.008152,0.008152,0.008152
30,193.034,0.02559,1.34391,0.74258,0.56704,0.5576,0.45838,0.11732,0.02097,1.10219,0.7295,0.008086,0.008086,0.008086
31,198.175,0.02447,1.26316,0.72807,0.20945,0.30968,0.0791,0.01333,0.0262,1.35874,0.80255,0.00802,0.00802,0.00802
32,203.319,0.02364,1.20715,0.74872,0.42208,0.47412,0.29368,0.06106,0.02268,1.14553,0.74757,0.007954,0.007954,0.007954
33,208.623,0.02514,1.2642,0.74447,0.40224,0.45075,0.27377,0.05378,0.02349,1.20835,0.74243,0.007888,0.007888,0.007888
34,214.337,0.02601,1.38375,0.73874,0.57233,0.5576,0.45379,0.11724,0.02136,1.12031,0.74322,0.007822,0.007822,0.007822
35,219.926,0.02421,1.28156,0.74061,0.19133,0.25042,0.06311,0.01013,0.02687,1.32738,0.80797,0.007756,0.007756,0.007756
36,225.451,0.02391,1.23835,0.74808,0.27713,0.32929,0.11509,0.02134,0.02492,1.35261,0.77659,0.00769,0.00769,0.00769
37,231.134,0.02416,1.20653,0.72902,0.4896,0.43907,0.3766,0.07645,0.02282,1.21494,0.72105,0.007624,0.007624,0.007624
38,236.027,0.0264,1.39847,0.73731,0.44004,0.4424,0.33606,0.07177,0.02289,1.29824,0.72371,0.007558,0.007558,0.007558
39,241.447,0.02557,1.2963,0.74985,0.56932,0.6177,0.51707,0.13482,0.02029,1.129,0.73217,0.007492,0.007492,0.007492
40,246.353,0.02394,1.26023,0.75521,0.31699,0.399,0.19063,0.03871,0.0234,1.21034,0.76716,0.007426,0.007426,0.007426
41,251.437,0.02432,1.26155,0.7543,0.306,0.34725,0.17016,0.03254,0.02454,1.36441,0.78268,0.00736,0.00736,0.00736
42,256.518,0.02399,1.19938,0.73267,0.45341,0.43207,0.253,0.05303,0.02386,1.21689,0.7793,0.007294,0.007294,0.007294
43,261.815,0.02365,1.16268,0.74797,0.27958,0.31357,0.10412,0.01821,0.02643,1.23563,0.82426,0.007228,0.007228,0.007228
44,266.903,0.0232,1.14617,0.73305,0.17618,0.1995,0.04882,0.00719,0.02797,1.40129,0.84435,0.007162,0.007162,0.007162
45,272.014,0.02351,1.15728,0.73211,0.5452,0.48748,0.3807,0.08389,0.02249,1.11214,0.7465,0.007096,0.007096,0.007096
46,276.781,0.02426,1.19267,0.72151,0.64264,0.61018,0.53887,0.16036,0.01967,0.96988,0.72302,0.00703,0.00703,0.00703
47,281.773,0.02409,1.17997,0.72596,0.31798,0.30885,0.16214,0.02911,0.02493,1.18425,0.77364,0.006964,0.006964,0.006964
48,286.601,0.02353,1.15958,0.74132,0.40385,0.42738,0.24679,0.04592,0.02352,1.16746,0.76804,0.006898,0.006898,0.006898
49,291.638,0.02342,1.15274,0.73479,0.36983,0.41152,0.1888,0.03582,0.02417,1.27767,0.77938,0.006832,0.006832,0.006832
50,296.618,0.02303,1.13577,0.7229,0.22571,0.25793,0.0785,0.01331,0.02626,1.34942,0.80193,0.006766,0.006766,0.006766
51,301.626,0.02386,1.15269,0.7321,0.23333,0.28715,0.10538,0.01875,0.02558,1.24445,0.78369,0.0067,0.0067,0.0067
52,306.318,0.02271,1.10292,0.72547,0.65868,0.61436,0.57213,0.16699,0.01883,0.93782,0.72045,0.006634,0.006634,0.006634
53,311.001,0.02364,1.21795,0.7407,0.44153,0.43406,0.25611,0.04928,0.02336,1.11542,0.77122,0.006568,0.006568,0.006568
54,316.067,0.02299,1.14516,0.74856,0.05729,0.10518,0.00892,0.00144,0.03107,1.72361,0.92657,0.006502,0.006502,0.006502
55,321.408,0.02371,1.16246,0.72176,0.70042,0.65575,0.61333,0.1848,0.0184,0.91122,0.71007,0.006436,0.006436,0.006436
56,326.251,0.02478,1.2074,0.73711,0.70605,0.65965,0.65648,0.19657,0.01882,0.94749,0.71022,0.00637,0.00637,0.00637
57,331.067,0.02321,1.15282,0.72548,0.54658,0.53255,0.4209,0.10477,0.02074,0.99677,0.72363,0.006304,0.006304,0.006304
58,336.085,0.02388,1.13458,0.73751,0.46511,0.48414,0.3267,0.07271,0.02186,1.08579,0.73165,0.006238,0.006238,0.006238
59,341.37,0.02363,1.14189,0.73106,0.62876,0.64185,0.5345,0.13926,0.01977,0.97666,0.71819,0.006172,0.006172,0.006172
60,346.743,0.02398,1.15856,0.72057,0.51499,0.57095,0.41499,0.09295,0.02113,1.04257,0.72666,0.006106,0.006106,0.006106
61,351.512,0.02248,1.10873,0.71749,0.34775,0.37813,0.18721,0.03275,0.0242,1.18238,0.75136,0.00604,0.00604,0.00604
62,356.566,0.02258,1.07826,0.72033,0.40945,0.42404,0.24093,0.04371,0.02362,1.16046,0.7539,0.005974,0.005974,0.005974
63,361.554,0.02246,1.07715,0.71904,0.48028,0.50167,0.32055,0.06865,0.02254,1.12778,0.7605,0.005908,0.005908,0.005908
64,366.744,0.02298,1.11949,0.71232,0.38241,0.43823,0.22687,0.04279,0.02403,1.17378,0.78274,0.005842,0.005842,0.005842
65,371.637,0.02268,1.09875,0.72354,0.32986,0.38731,0.18451,0.03357,0.02386,1.20956,0.75752,0.005776,0.005776,0.005776
66,376.336,0.02239,1.05321,0.7109,0.52759,0.53138,0.36474,0.07891,0.02151,1.04855,0.74179,0.00571,0.00571,0.00571
67,381.261,0.02254,1.08427,0.71291,0.45682,0.45242,0.27108,0.05491,0.02324,1.09795,0.76193,0.005644,0.005644,0.005644
68,386.697,0.0222,1.08653,0.71668,0.38943,0.40818,0.21519,0.0378,0.02412,1.16683,0.75407,0.005578,0.005578,0.005578
69,391.489,0.02208,1.07875,0.72486,0.49157,0.48915,0.32283,0.06542,0.02281,1.07182,0.74378,0.005512,0.005512,0.005512
70,396.715,0.02178,1.07706,0.73212,0.44862,0.45576,0.26694,0.05044,0.02316,1.09613,0.75679,0.005446,0.005446,0.005446
71,401.987,0.02283,1.08234,0.70892,0.23021,0.24624,0.08297,0.01331,0.02635,1.42471,0.817,0.00538,0.00538,0.00538
72,406.754,0.02236,1.09385,0.71718,0.48732,0.48664,0.30647,0.05625,0.02307,1.12081,0.76055,0.005314,0.005314,0.005314
73,411.429,0.0224,1.09715,0.71811,0.34013,0.35142,0.16031,0.02908,0.02445,1.22058,0.78824,0.005248,0.005248,0.005248
74,416.292,0.02232,1.05454,0.7003,0.53218,0.53082,0.35572,0.07342,0.02232,1.04175,0.74773,0.005182,0.005182,0.005182
75,421.566,0.02269,1.07642,0.70684,0.57006,0.55671,0.39581,0.09427,0.0213,1.00568,0.73538,0.005116,0.005116,0.005116
