epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,101.663,2.37999,1.64502,1.00043,0.338,0.24678,0.13223,0.03643,3.10417,1.61326,1.11497,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
32,104.822,2.3665,1.63687,0.99078,0.26999,0.19828,0.07293,0.01915,3.22289,1.86644,1.16705,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,127.384,2.36168,1.57551,1.01831,0.45555,0.37508,0.23848,0.05721,2.87306,3.1574,1.03963,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,130.887,2.41736,1.56226,1.0257,0.24674,0.18539,0.06188,0.01589,3.44546,3.70167,1.31267,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,133.854,2.34993,1.5347,0.97837,0.31379,0.34991,0.14821,0.03608,2.98994,1.84332,1.09,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,137.656,2.38053,1.54314,0.99405,0.29715,0.23818,0.11835,0.03488,3.10941,1.85826,1.17392,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,140.45,2.251,1.55147,0.98768,0.32899,0.24951,0.13363,0.03243,3.25368,1.72131,1.20341,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,165.54,2.41373,1.51827,0.98984,0.2662,0.21854,0.08389,0.02047,3.43894,2.41846,1.25445,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,170.23,2.22423,1.49389,0.99493,0.23758,0.2124,0.0852,0.01532,3.61577,2.49135,1.34963,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,173.532,2.29977,1.49561,0.99996,0.3021,0.26212,0.1457,0.05079,3.06803,2.25719,1.11299,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,176.669,2.13248,1.45683,0.95559,0.26588,0.24739,0.10951,0.03043,3.34247,1.57665,1.18647,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,179.805,2.38935,1.57461,1.019,0.29062,0.23143,0.08628,0.02739,3.23273,1.72803,1.18873,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,182.762,2.26369,1.49545,0.97415,0.46654,0.39411,0.27774,0.06032,2.89657,1.51561,1.05403,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,186.049,2.40803,1.46148,0.9939,0.27853,0.24064,0.0822,0.02671,3.29042,2.09242,1.24303,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,189.226,2.27019,1.41728,0.99143,0.38191,0.29957,0.16943,0.04899,2.95501,1.53567,1.07373,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,192.32,2.29921,1.37318,0.9993,0.33951,0.23266,0.12442,0.03105,3.32954,2.05547,1.25213,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,195.507,2.21696,1.49326,0.97884,0.35134,0.33026,0.18368,0.04024,3.01735,1.62961,1.07138,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,198.514,2.22263,1.51831,0.97231,0.41664,0.40945,0.24819,0.06297,2.86192,1.49494,1.04627,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,201.749,2.26796,1.42992,0.9956,0.38298,0.32106,0.17806,0.04689,2.9428,1.62471,1.09714,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,211.237,2.37501,1.48372,0.96409,0.35771,0.34622,0.17008,0.03865,3.07655,1.83562,1.09226,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,213.876,2.20924,1.4117,0.97024,0.32427,0.3008,0.12061,0.02744,3.00229,1.58474,1.07288,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,217.232,2.23228,1.33898,0.98558,0.24854,0.32965,0.08876,0.01985,3.05625,2.07921,1.12112,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,220.554,2.21792,1.46605,0.98392,0.20554,0.26554,0.06756,0.01836,3.0413,1.78513,1.10976,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,223.383,2.2566,1.43166,0.95779,0.34524,0.3849,0.19717,0.04321,2.87508,1.56614,1.05806,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,226.207,2.29352,1.48183,1.00922,0.32133,0.28852,0.12281,0.03198,2.97309,1.51473,1.10084,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,229.409,2.25817,1.46675,0.98532,0.36258,0.26397,0.15519,0.04714,2.90805,1.56221,1.0814,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,232.691,2.12532,1.48017,0.96985,0.38862,0.23573,0.16505,0.06049,2.99238,1.54633,1.10005,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
58,235.71,2.16592,1.35563,0.9916,0.36326,0.35789,0.16031,0.0403,2.86767,1.48885,1.05484,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
59,238.997,2.23507,1.31517,0.98948,0.30269,0.33702,0.13939,0.03253,2.9045,1.55548,1.05788,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
60,241.842,2.29409,1.53807,0.95539,0.32718,0.37876,0.1435,0.03064,2.93736,1.79972,1.03926,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,244.933,2.15422,1.44111,0.96799,0.3591,0.35359,0.16875,0.04249,2.83146,1.60107,1.03504,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,247.63,2.17844,1.36624,0.97355,0.30273,0.27624,0.14548,0.02324,3.31131,1.86208,1.1416,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
63,250.483,2.14334,1.47544,0.96629,0.26612,0.27563,0.1053,0.03118,2.91417,1.67677,1.06734,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
64,253.451,2.15846,1.32533,0.95614,0.32689,0.3229,0.15188,0.04331,2.77257,1.56551,1.04044,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
65,256.15,2.16263,1.4196,0.97715,0.35519,0.30433,0.14964,0.04455,2.88637,1.50323,1.07054,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
66,258.647,2.19062,1.42111,0.97201,0.35615,0.39533,0.18206,0.04749,2.8445,1.65786,1.06015,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
67,261.832,2.14088,1.38988,0.97353,0.19888,0.15715,0.0468,0.01162,3.59088,2.00583,1.31571,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
68,264.819,2.22061,1.36512,0.97314,0.32832,0.27125,0.13973,0.02423,3.45794,1.68052,1.20887,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
69,268.037,2.18599,1.33021,0.95273,0.32594,0.25721,0.13527,0.02805,3.32991,1.61177,1.17713,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
70,270.581,2.13278,1.40368,0.96109,0.40051,0.31983,0.1662,0.04383,2.99261,1.40793,1.07161,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
71,273.768,2.16381,1.38635,0.95826,0.31956,0.26212,0.12269,0.04331,3.00238,1.4781,1.10049,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
72,276.878,2.18076,1.37714,0.96194,0.34064,0.28177,0.15097,0.0574,2.94198,1.44771,1.06997,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
73,279.625,2.11058,1.31823,0.9496,0.39178,0.32842,0.20352,0.06562,2.82994,1.4243,1.02552,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
74,283.606,2.15807,1.39943,0.94458,0.37635,0.35666,0.21226,0.06226,2.84777,1.44566,1.02224,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182
75,286.633,2.22898,1.37835,0.96739,0.35472,0.30945,0.18168,0.06436,2.85685,1.44615,1.05461,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116
76,289.935,2.22461,1.34135,0.99998,0.3721,0.38367,0.19936,0.05552,2.77351,1.46786,1.02607,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,293.204,2.30879,1.31844,0.97012,0.32676,0.34929,0.18138,0.06014,2.78011,1.57097,1.02959,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984
78,296.661,2.32021,1.40382,0.96777,0.30958,0.283,0.16203,0.04573,3.15653,1.8512,1.12746,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918
79,299.934,2.14898,1.30783,0.97133,0.30114,0.33026,0.18694,0.0594,3.05838,1.50178,1.09433,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
80,302.562,2.09835,1.38086,0.94679,0.32736,0.30387,0.19101,0.06535,3.00391,1.46062,1.06987,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786
81,305.581,2.15317,1.34889,0.95143,0.32749,0.28238,0.18431,0.05851,3.03393,1.46302,1.07476,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
82,308.197,2.17365,1.39139,0.99286,0.39625,0.40611,0.2827,0.09182,2.70829,1.44747,1.02259,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
83,311.301,2.10732,1.36514,0.95502,0.38874,0.39288,0.27242,0.0886,2.74033,1.43175,1.03808,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588
84,313.981,2.11016,1.30004,0.95393,0.33424,0.36832,0.16042,0.03819,2.95926,1.68915,1.0448,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522
85,317.082,2.21739,1.29968,0.95314,0.32826,0.30448,0.16659,0.05078,2.94573,1.65892,1.0659,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
86,319.652,2.08573,1.26096,0.93778,0.31353,0.37446,0.19506,0.05604,2.95249,1.70271,1.05144,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
87,322.278,2.07044,1.31425,0.9418,0.37405,0.36464,0.21721,0.06066,2.8545,1.62425,1.04,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324
