epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
130,476.463,2.01115,1.22013,0.91903,0.51104,0.29963,0.21827,0.07553,2.76925,1.48392,1.0407,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
131,479.62,2.07688,1.21033,0.93381,0.54019,0.30264,0.23457,0.07949,2.75373,1.49605,1.02835,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
132,482.445,2.05255,1.18563,0.94976,0.51652,0.30627,0.25263,0.08495,2.7669,1.49317,1.02738,0.004062,0.001354,0.004062,0.001354,0.004062,0.001354,0.004062,0.001354
133,485.372,1.95125,1.19496,0.92784,0.54702,0.30816,0.27675,0.09753,2.7771,1.47093,1.03578,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
134,488.181,2.01399,1.23758,0.91319,0.53528,0.3186,0.30662,0.10015,2.74534,1.52074,1.02199,0.003666,0.001222,0.003666,0.001222,0.003666,0.001222,0.003666,0.001222
135,491.456,2.0366,1.14746,0.93232,0.4011,0.40086,0.31993,0.09994,2.70855,1.58538,1.0146,0.003468,0.001156,0.003468,0.001156,0.003468,0.001156,0.003468,0.001156
136,494.806,2.08501,1.16675,0.95413,0.4057,0.41314,0.31802,0.09824,2.68313,1.5768,1.0114,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
137,497.506,1.9903,1.23834,0.93842,0.42829,0.43642,0.31524,0.09873,2.71731,1.44583,1.03313,0.003072,0.001024,0.003072,0.001024,0.003072,0.001024,0.003072,0.001024
138,500.704,2.10778,1.15001,0.92488,0.45214,0.46961,0.34284,0.10011,2.69737,1.40411,1.0308,0.002874,0.000958,0.002874,0.000958,0.002874,0.000958,0.002874,0.000958
139,503.919,2.07869,1.17185,0.95397,0.46249,0.46777,0.34679,0.09755,2.69921,1.39175,1.03048,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
140,507.139,1.98189,1.17115,0.92798,0.46542,0.469,0.35622,0.10067,2.70578,1.36949,1.03715,0.002478,0.000826,0.002478,0.000826,0.002478,0.000826,0.002478,0.000826
141,510.005,1.99485,1.17933,0.94363,0.45342,0.469,0.35091,0.10756,2.6834,1.39315,1.02966,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
142,512.739,2.03712,1.18864,0.93753,0.45681,0.43314,0.35851,0.10877,2.68106,1.45668,1.0186,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
143,515.644,1.95299,1.19141,0.92416,0.52333,0.33272,0.32894,0.1053,2.7031,1.45355,1.01916,0.001884,0.000628,0.001884,0.000628,0.001884,0.000628,0.001884,0.000628
144,518.481,2.06639,1.22733,0.93491,0.54502,0.31547,0.29485,0.09756,2.72056,1.44904,1.02315,0.001686,0.000562,0.001686,0.000562,0.001686,0.000562,0.001686,0.000562
145,521.197,2.07841,1.26167,0.94358,0.51294,0.31001,0.26915,0.09132,2.72302,1.4478,1.02438,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
146,523.943,1.96917,1.21992,0.92254,0.51583,0.31369,0.2653,0.0909,2.70996,1.45281,1.02271,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043
147,526.861,1.98272,1.20089,0.9381,0.52675,0.3051,0.25136,0.09014,2.72146,1.4216,1.03325,0.001092,0.000364,0.001092,0.000364,0.001092,0.000364,0.001092,0.000364
148,529.746,2.06537,1.19511,0.92981,0.52592,0.3008,0.24839,0.08917,2.7285,1.41267,1.03686,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
149,532.507,1.93339,1.22542,0.92066,0.50918,0.30387,0.24438,0.08832,2.74046,1.40474,1.04185,0.000696,0.000232,0.000696,0.000232,0.000696,0.000232,0.000696,0.000232
150,535.213,2.00445,1.17156,0.92766,0.50045,0.30564,0.24537,0.08852,2.74322,1.40591,1.04165,0.000498,0.000166,0.000498,0.000166,0.000498,0.000166,0.000498,0.000166
