epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.43437,0.02706,1.98679,0.79256,0.03629,0.45554,0.25913,0.06356,0.02424,2.9451,0.71318,0.000326667,0.000326667,0.06766
2,12.4991,0.02551,1.48254,0.73673,0.53654,0.36297,0.30826,0.07331,0.02255,1.78831,0.71293,0.000653466,0.000653466,0.0346535
3,18.1993,0.02541,1.40451,0.72328,0.40638,0.42207,0.2276,0.0466,0.02395,1.25076,0.71389,0.000973665,0.000973665,0.00164033
4,24.1473,0.02493,1.36906,0.72576,0.40718,0.41841,0.22868,0.04782,0.02347,1.21792,0.70634,0.0009703,0.0009703,0.0009703
5,29.8715,0.02466,1.32597,0.72377,0.52945,0.49791,0.34812,0.09001,0.02142,1.14576,0.69606,0.0009604,0.0009604,0.0009604
6,36.1299,0.02444,1.30874,0.71541,0.47083,0.43096,0.26518,0.06061,0.02287,1.25632,0.7065,0.0009505,0.0009505,0.0009505
7,42.0136,0.02415,1.30931,0.72055,0.51763,0.46862,0.3227,0.07387,0.02243,1.18907,0.7061,0.0009406,0.0009406,0.0009406
8,48.0974,0.02355,1.2926,0.73171,0.27359,0.2772,0.10842,0.01873,0.02603,1.43872,0.74322,0.0009307,0.0009307,0.0009307
9,53.7259,0.02444,1.31391,0.72049,0.61382,0.53766,0.45438,0.12293,0.02059,1.10781,0.69068,0.0009208,0.0009208,0.0009208
10,59.3511,0.02423,1.28719,0.72217,0.4021,0.41435,0.23811,0.0518,0.02333,1.18517,0.70685,0.0009109,0.0009109,0.0009109
11,64.7767,0.02395,1.22588,0.70735,0.52123,0.47658,0.33668,0.08038,0.02226,1.1447,0.70987,0.000901,0.000901,0.000901
12,69.8245,0.02377,1.29201,0.72207,0.47919,0.49372,0.3101,0.07564,0.02191,1.17396,0.70761,0.0008911,0.0008911,0.0008911
13,75.2307,0.0237,1.26893,0.70971,0.27685,0.31433,0.1147,0.02022,0.0259,1.29646,0.72565,0.0008812,0.0008812,0.0008812
14,80.8691,0.02305,1.21979,0.71494,0.36698,0.38599,0.18793,0.03445,0.02432,1.23541,0.70607,0.0008713,0.0008713,0.0008713
15,86.7962,0.02389,1.23851,0.69978,0.62426,0.56119,0.47639,0.12513,0.02091,1.06046,0.69108,0.0008614,0.0008614,0.0008614
16,92.8617,0.02386,1.25402,0.69923,0.61866,0.58038,0.45645,0.12408,0.02042,1.08356,0.69704,0.0008515,0.0008515,0.0008515
17,98.263,0.02362,1.21129,0.70675,0.48711,0.49822,0.32309,0.07862,0.022,1.18059,0.70678,0.0008416,0.0008416,0.0008416
18,103.355,0.02303,1.21204,0.7096,0.63406,0.56851,0.4758,0.13073,0.02031,1.09931,0.69265,0.0008317,0.0008317,0.0008317
19,108.829,0.02326,1.19374,0.70657,0.51627,0.47437,0.31403,0.06882,0.02252,1.13121,0.70197,0.0008218,0.0008218,0.0008218
20,114.294,0.02358,1.19195,0.69534,0.53862,0.48117,0.34001,0.07613,0.02238,1.10675,0.70387,0.0008119,0.0008119,0.0008119
21,119.72,0.02356,1.179,0.71579,0.45039,0.41893,0.25054,0.04925,0.02364,1.16802,0.71793,0.000802,0.000802,0.000802
22,125.119,0.02297,1.20418,0.73296,0.58416,0.5136,0.40258,0.09705,0.02168,1.09007,0.70611,0.0007921,0.0007921,0.0007921
