epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.7009,1.39968,1.46071,1.51982,0.84971,0.80541,0.8341,0.31274,1.09739,1.0359,1.06942,0.000331502,0.000331502,0.0671813
2,79.4908,1.04522,1.11573,1.11515,0.89447,0.877,0.93414,0.45844,0.86928,1.0232,0.95905,0.000662202,0.000662202,0.0341787
3,115.826,0.99862,1.04967,1.07751,0.91081,0.86582,0.93492,0.42343,0.94471,0.94138,0.98262,0.000990263,0.000990263,0.00117341
4,167.579,1.00004,1.0404,1.07099,0.91361,0.90754,0.95069,0.47475,0.87118,0.88664,0.96049,0.00098812,0.00098812,0.00098812
5,204.216,0.98509,1.02151,1.06576,0.94192,0.92018,0.96975,0.4894,0.85401,0.8279,0.94123,0.00098416,0.00098416,0.00098416
6,240.848,0.97463,1.00905,1.05687,0.92604,0.90264,0.96332,0.50236,0.82512,0.86854,0.93946,0.0009802,0.0009802,0.0009802
7,290.627,0.97115,1.00892,1.05189,0.92823,0.89798,0.96966,0.5204,0.79823,0.81653,0.92344,0.00097624,0.00097624,0.00097624
8,327.462,0.96556,0.99986,1.04815,0.94183,0.92415,0.97206,0.4864,0.86485,0.82931,0.94152,0.00097228,0.00097228,0.00097228
9,363.841,0.96339,0.98521,1.04613,0.953,0.90988,0.97095,0.47259,0.87726,0.839,0.94406,0.00096832,0.00096832,0.00096832
10,401.115,0.95741,0.97382,1.045,0.94177,0.92256,0.97512,0.47116,0.85437,0.84381,0.93076,0.00096436,0.00096436,0.00096436
11,437.571,0.95378,0.97779,1.04142,0.9333,0.88451,0.96675,0.42858,0.91502,0.87368,0.94646,0.0009604,0.0009604,0.0009604
12,474.875,0.95325,0.96361,1.04127,0.93572,0.90866,0.97389,0.47383,0.84719,0.82951,0.93197,0.00095644,0.00095644,0.00095644
13,511.561,0.9551,0.96416,1.03691,0.94901,0.91315,0.97849,0.51711,0.8033,0.79113,0.92504,0.00095248,0.00095248,0.00095248
14,783.541,0.94917,0.9675,1.03705,0.93811,0.92075,0.9756,0.4813,0.85626,0.83293,0.93339,0.00094852,0.00094852,0.00094852
15,820.384,0.95213,0.96725,1.03517,0.94725,0.92297,0.97714,0.50284,0.82002,0.80196,0.92542,0.00094456,0.00094456,0.00094456
16,882.495,0.95339,0.96939,1.03849,0.92428,0.90862,0.96656,0.42465,0.95873,0.84058,0.96806,0.0009406,0.0009406,0.0009406
17,918.647,0.93789,0.95144,1.03125,0.92709,0.88702,0.96242,0.45343,0.86311,0.8676,0.92664,0.00093664,0.00093664,0.00093664
18,974.505,0.94319,0.95493,1.02838,0.93365,0.90644,0.97302,0.48586,0.83604,0.82247,0.92938,0.00093268,0.00093268,0.00093268
19,1012.14,0.941,0.95442,1.03543,0.95008,0.94661,0.97894,0.48101,0.84507,0.80173,0.93401,0.00092872,0.00092872,0.00092872
20,1048.51,0.94311,0.94807,1.03449,0.94263,0.92682,0.97842,0.48651,0.83178,0.80833,0.92387,0.00092476,0.00092476,0.00092476
21,1085.62,0.94171,0.94684,1.03278,0.946,0.91802,0.96978,0.50029,0.82786,0.8157,0.93216,0.0009208,0.0009208,0.0009208
22,1124.37,0.94256,0.95219,1.03218,0.93252,0.9229,0.97509,0.48221,0.85678,0.78448,0.93891,0.00091684,0.00091684,0.00091684
23,1162.99,0.93735,0.9458,1.02817,0.95187,0.93729,0.98248,0.53268,0.78067,0.7615,0.91546,0.00091288,0.00091288,0.00091288
24,1201.6,0.93675,0.94204,1.02997,0.9435,0.91962,0.97801,0.50141,0.8333,0.81704,0.92424,0.00090892,0.00090892,0.00090892
25,1240.06,0.94223,0.94232,1.03154,0.94474,0.93324,0.97472,0.48138,0.86061,0.81908,0.93463,0.00090496,0.00090496,0.00090496
26,1281.78,0.94028,0.94505,1.02621,0.94399,0.9269,0.97831,0.52453,0.79854,0.76219,0.91672,0.000901,0.000901,0.000901
27,1319.49,0.93524,0.9431,1.02736,0.94115,0.93959,0.97489,0.51232,0.81914,0.77587,0.92402,0.00089704,0.00089704,0.00089704
28,1356.62,0.93337,0.93738,1.02581,0.9459,0.92782,0.97987,0.47738,0.86429,0.78532,0.93374,0.00089308,0.00089308,0.00089308
29,1393.75,0.9385,0.93896,1.02894,0.94136,0.92704,0.98022,0.5159,0.81532,0.77855,0.92296,0.00088912,0.00088912,0.00088912
30,1447.17,0.93729,0.93413,1.02915,0.94641,0.92623,0.9782,0.50034,0.833,0.79101,0.92391,0.00088516,0.00088516,0.00088516
31,1483.88,0.92709,0.92997,1.02302,0.95352,0.93807,0.9813,0.51839,0.81413,0.77106,0.92232,0.0008812,0.0008812,0.0008812
32,1520.5,0.92455,0.92909,1.02395,0.92792,0.91756,0.97546,0.48916,0.83424,0.83028,0.92262,0.00087724,0.00087724,0.00087724
33,1557.18,0.93588,0.93249,1.02641,0.93908,0.93649,0.98006,0.49329,0.82444,0.81246,0.91981,0.00087328,0.00087328,0.00087328
34,1593.96,0.93253,0.929,1.02655,0.95294,0.92724,0.97892,0.49738,0.83867,0.79455,0.92915,0.00086932,0.00086932,0.00086932
35,1630.3,0.93376,0.92971,1.02678,0.95101,0.93391,0.98147,0.50452,0.83486,0.78723,0.92928,0.00086536,0.00086536,0.00086536
36,1675.12,0.93001,0.93486,1.02303,0.95266,0.93591,0.98208,0.52063,0.81514,0.79998,0.92083,0.0008614,0.0008614,0.0008614
37,1714.88,0.92968,0.92835,1.02471,0.94726,0.92457,0.97834,0.50182,0.84644,0.77525,0.93203,0.00085744,0.00085744,0.00085744
38,1751.08,0.93066,0.92431,1.02522,0.94937,0.94092,0.98288,0.52389,0.80945,0.76785,0.92001,0.00085348,0.00085348,0.00085348
39,1787.86,0.9326,0.92238,1.02523,0.94019,0.92339,0.97183,0.5066,0.83719,0.76585,0.93132,0.00084952,0.00084952,0.00084952
40,1824.11,0.92607,0.9136,1.02262,0.94211,0.92223,0.97999,0.50043,0.83641,0.78057,0.92376,0.00084556,0.00084556,0.00084556
41,1860.35,0.92634,0.92564,1.02212,0.93391,0.93395,0.98114,0.51488,0.81207,0.76241,0.92134,0.0008416,0.0008416,0.0008416
42,1896.2,0.927,0.92366,1.02311,0.94792,0.94426,0.98347,0.51915,0.81508,0.75142,0.91973,0.00083764,0.00083764,0.00083764
43,1939,0.92398,0.92418,1.02216,0.94938,0.92089,0.97959,0.5133,0.81967,0.75791,0.92126,0.00083368,0.00083368,0.00083368
44,1975.2,0.92753,0.92346,1.02265,0.95043,0.94626,0.98276,0.53242,0.7819,0.7406,0.91148,0.00082972,0.00082972,0.00082972
45,2014.24,0.92525,0.91482,1.02148,0.94769,0.95127,0.98461,0.51758,0.80945,0.75362,0.91827,0.00082576,0.00082576,0.00082576
46,2050.7,0.92655,0.91587,1.02197,0.94211,0.93591,0.98147,0.5197,0.80352,0.76106,0.9164,0.0008218,0.0008218,0.0008218
47,2118.46,0.91974,0.91173,1.01934,0.94344,0.9353,0.98124,0.53311,0.7911,0.74803,0.91363,0.00081784,0.00081784,0.00081784
48,2192.03,0.92917,0.9124,1.02068,0.94331,0.94726,0.98346,0.53202,0.78991,0.75093,0.91139,0.00081388,0.00081388,0.00081388
49,2228.88,0.92157,0.90904,1.01756,0.94905,0.94493,0.98384,0.53218,0.79188,0.75316,0.91404,0.00080992,0.00080992,0.00080992
